Task,Cost,Time
12 to 12,91,271
12 to 12,192,521
12 to 12,383,1052
12 to 12,96,274
12 to 12,189,536
12 to 12,368,1039
12 to 12,97,265
12 to 12,195,539
12 to 12,377,1043
24 to 24,185,526
24 to 24,388,1063
24 to 24,775,2170
24 to 24,1572,4314
24 to 24,189,546
24 to 24,398,1084
24 to 24,770,2141
24 to 24,1579,4283
24 to 24,188,541
24 to 24,397,1080
24 to 24,781,2118
24 to 24,1572,4327
96 to 96,393,1092
96 to 96,793,2207
96 to 96,1584,4334
96 to 96,3197,8698
96 to 96,6332,17333
96 to 96,403,1086
96 to 96,801,2170
96 to 96,1569,4321
96 to 96,3206,8696
96 to 96,6360,17369
96 to 96,390,1063
96 to 96,815,2158
96 to 96,1580,4314
96 to 96,3151,8629
96 to 96,6360,17308
384 to 384,792,2181
384 to 384,1590,4378
384 to 384,3182,8697
384 to 384,6399,17387
384 to 384,9571,26107
384 to 384,786,2189
384 to 384,1607,4388
384 to 384,3204,8747
384 to 384,6398,17438
384 to 384,9575,26092
384 to 384,795,2186
384 to 384,1601,4418
384 to 384,3215,8700
384 to 384,6436,17446
384 to 384,9610,26158